Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
86	7.232	5.724524	20.0	-8.0	20.0	1.354161	2.6347578	9.388863	-1.2172958	435000	-0.04517169	5.8811517	0.0	-0.080667496	1.3646762	-2.3126603e-09	131.05413126945496
87	6.64	6.023155	28.0	-9.0	20.0	1.2735987	2.6701946	9.445655	-1.2070453	440000	-0.047133777	5.85437	0.0	-0.05211258	1.3642886	1.30176545e-08	132.52468705177307
88	6.868	6.250326	29.0	-12.0	20.0	1.2834994	2.6226652	9.188785	-1.2981119	445000	-0.043317474	6.761781	0.0	-0.04899454	1.3633755	3.2663345e-09	133.9880440235138
89	6.832	5.4519515	20.0	-10.0	20.0	1.204156	2.5855782	9.270431	-1.4414908	450000	-0.04675826	5.288793	0.0	-0.11990738	1.3635898	7.6770785e-09	135.44516229629517
90	7.152	5.616484	20.0	-11.0	20.0	1.2871867	2.697797	9.224344	-1.4455633	455000	-0.046467125	6.1868553	0.0	-0.09746456	1.3629384	9.250641e-09	136.94448518753052
91	6.476	5.6414027	19.0	-14.0	20.0	1.3380336	2.5869255	9.241265	-1.335388	460000	-0.04920094	6.1843486	0.0	-0.061841965	1.3621815	1.6641616e-08	138.4114260673523
92	6.7	6.878517	29.0	-13.0	20.0	1.2673244	2.646238	9.18486	-1.4102389	465000	-0.048491057	7.550594	0.0	-0.053852558	1.3612933	8.797645e-09	139.88048028945923
93	7.916	5.7914543	25.0	-6.0	20.0	1.3580644	2.586756	9.363779	-1.2825767	470000	-0.049778566	6.634156	0.0	-0.24118805	1.361135	-1.87397e-08	141.33955717086792
94	7.568	5.9951124	29.0	-9.0	20.0	1.6422817	2.723132	9.678712	-1.3072562	475000	-0.055364423	6.2020607	0.0	-0.18070078	1.3608361	-1.4066697e-09	142.87589025497437
95	7.068	5.812347	23.0	-10.0	20.0	1.4525546	2.7300944	9.628657	-1.1855661	480000	-0.056192175	6.123165	0.0	-0.045526028	1.3600047	-2.450943e-08	144.33398008346558
96	8.128	5.991963	29.0	-8.0	20.0	1.3944155	2.653426	9.271009	-1.2827249	485000	-0.05567039	6.5766516	0.0	-0.15976095	1.3592589	-1.9550324e-08	145.78739500045776
97	7.408	5.4230556	19.0	-10.0	20.0	1.5995398	2.7685552	9.672923	-1.2485094	490000	-0.056748584	5.9999948	0.0	-0.107368946	1.3586364	4.7445297e-09	147.26519012451172
98	8.084	7.020893	28.0	-11.0	20.0	1.44468	2.697408	9.314129	-1.2803948	495000	-0.054952905	7.840031	0.0	-0.12222099	1.3581908	-1.475811e-08	148.7330060005188
99	8.3	5.836609	24.0	-8.0	20.0	1.542468	2.666195	9.647518	-1.228369	500000	-0.05824535	5.749348	0.0	-0.15013742	1.357281	-2.3841857e-09	150.21242117881775
100	7.672	6.020998	20.0	-10.0	20.0	1.7975563	2.799364	9.726741	-1.1819288	505000	-0.064149834	6.7869773	0.0	-0.13624763	1.3567628	-1.8835067e-09	151.68868112564087
101	7.524	5.3756323	20.0	-9.0	20.0	1.4979159	2.601744	9.393046	-0.9037545	510000	-0.06125329	6.041393	0.0	-0.056390285	1.3561406	1.2207031e-08	153.1692831516266
102	7.812	6.502973	28.0	-11.0	20.0	1.4991477	2.72703	9.433454	-1.0532899	515000	-0.06660297	6.986468	0.0	-0.053794384	1.3556805	-1.7690658e-08	154.64462614059448
103	8.032	6.145484	30.0	-9.0	20.0	1.5567627	2.6347675	9.515475	-0.99861795	520000	-0.063656025	6.9410954	0.0	-0.07158661	1.3540906	7.0810318e-09	156.13209795951843
104	7.664	6.4273715	28.0	-7.0	20.0	1.684377	2.7529047	9.528494	-1.1025895	525000	-0.06775548	6.95778	0.0	-0.13555813	1.3536712	-5.197525e-09	157.62174105644226
105	7.796	6.0572586	24.0	-8.0	20.0	1.4408983	2.5984123	9.447875	-1.0847044	530000	-0.06537334	6.207048	0.0	-0.08700514	1.352947	4.506111e-09	159.09543323516846
106	7.724	6.6127014	29.0	-17.0	20.0	1.6568968	2.7527623	9.565356	-1.0657893	535000	-0.06407355	7.4753165	0.0	-0.09874678	1.35273	-1.783371e-08	160.5732021331787
107	8.604	6.0198994	20.0	-8.0	20.0	1.5157193	2.5485575	9.396921	-0.9477687	540000	-0.06891059	6.83569	0.0	-0.158566	1.3513098	-6.1511995e-09	162.03993105888367
108	8.688	6.1649537	30.0	-9.0	20.0	1.78935	2.7213583	9.774256	-0.9660387	545000	-0.07213392	6.4661183	0.0	-0.037810802	1.3495028	-2.026558e-10	163.51686906814575
109	8.664	6.636799	30.0	-10.0	20.0	1.9915135	2.770793	9.983033	-0.9344009	550000	-0.067336835	7.6114116	0.0	-0.09974909	1.3487363	7.343292e-09	164.98470211029053
110	8.772	5.9181094	25.0	-6.0	20.0	1.8130385	2.7014637	9.763396	-1.0510834	555000	-0.07393045	6.459003	0.0	-0.09539652	1.3489293	1.8835067e-09	166.47812700271606
111	8.82	6.124998	29.0	-7.0	20.0	1.888314	2.7923086	9.754587	-1.0185299	560000	-0.07495052	6.952304	0.0	-0.09091091	1.3478786	6.6041945e-09	167.96132397651672
112	8.496	5.849614	24.0	-10.0	20.0	1.8811041	2.7451785	9.722591	-0.7117454	565000	-0.06785024	6.9522476	0.0	-0.078232765	1.3461282	-1.4185906e-09	169.433336019516
113	8.684	6.593341	29.0	-11.0	20.0	1.8293371	2.652791	9.638475	-0.7978288	570000	-0.07513359	7.3722563	0.0	-0.043529034	1.3450375	-9.453297e-09	170.89128422737122
114	8.376	6.469206	29.0	-10.0	20.0	1.8854234	2.6172585	9.643723	-0.61442256	575000	-0.075232476	7.485348	0.0	-0.030508518	1.3443488	1.4817715e-08	172.35898208618164
115	9.488	6.351209	25.0	-8.0	20.0	1.9100403	2.64292	9.591914	-0.62989724	580000	-0.07455065	7.350432	0.0	-0.11460447	1.3433249	-5.3644182e-09	173.83045411109924
116	9.2	6.0649815	30.0	-9.0	20.0	2.1177197	2.6462948	9.760372	-0.5057027	585000	-0.07441473	7.2256556	0.0	-0.108735085	1.3421309	2.412796e-08	175.3255259990692
117	9.22	6.1660037	30.0	-6.0	20.0	2.0895138	2.78182	9.831652	-0.9624101	590000	-0.080674075	6.6866374	0.0	-0.081285	1.3412589	1.8370152e-08	176.7851541042328
118	9.532	7.2045107	30.0	-10.0	20.0	2.0177689	2.8054893	9.891441	-0.758173	595000	-0.077666745	8.656965	0.0	-0.15818596	1.3396034	-1.5842915e-08	178.2681839466095
119	9.636	6.217355	30.0	-8.0	20.0	2.1903453	2.671159	10.022347	-0.93498904	600000	-0.08728589	7.320572	0.0	-0.03777027	1.3387886	1.335144e-09	179.73587822914124
120	9.908	6.1796064	25.0	-8.0	20.0	2.2308595	2.7424939	9.944693	-0.7440369	605000	-0.08186885	7.329794	0.0	-0.074625015	1.3380162	7.56979e-09	181.28121209144592
121	10.152	6.472163	30.0	-6.0	20.0	2.357304	2.659564	9.891384	-0.6089736	610000	-0.07776656	7.8768287	0.0	-0.118617535	1.3360549	1.347065e-09	182.790678024292
122	10.468	6.2476377	29.0	-5.0	20.0	2.3188581	2.7481835	9.958154	-0.59253585	615000	-0.07900393	7.3978086	0.0	-0.073604584	1.3352948	3.4475327e-08	184.2561912536621
123	9.82	6.729309	30.0	-8.0	20.0	2.3776286	2.9375913	10.247491	-0.81007016	620000	-0.08396627	8.037809	0.0	-0.16406727	1.3338978	-1.37805936e-08	185.74260807037354
124	9.46	5.9565425	29.0	-9.0	20.0	2.257381	2.7025554	10.011044	-0.7502538	625000	-0.08289718	7.287594	0.0	-0.06534052	1.3328495	-1.6248226e-08	187.2563922405243
125	9.556	7.3701334	29.0	-9.0	20.0	2.0959938	2.6979094	9.734711	-0.46514195	630000	-0.09004863	8.740041	0.0	-0.070549965	1.3322768	3.5643577e-09	188.72844624519348
126	9.484	6.0041437	28.0	-4.0	20.0	2.1345491	2.69295	9.960777	-0.8729156	635000	-0.08355009	6.979843	0.0	-0.09994459	1.3300027	-1.6248226e-08	190.1934299468994
127	10.032	6.00791	27.0	-8.0	20.0	2.2164333	2.8290749	10.009685	-0.6158875	640000	-0.07739325	7.142014	0.0	-0.02419281	1.3282243	1.9216538e-08	191.6685070991516
128	10.492	6.8423634	30.0	-9.0	20.0	2.3540852	2.799667	9.919478	-0.7133882	645000	-0.087453805	8.99305	0.0	-0.11899185	1.3284953	-5.38826e-09	193.13458514213562
129	10.0	6.1851435	29.0	-4.0	20.0	2.478939	2.7822328	10.187634	-0.52189964	650000	-0.08554085	7.355597	0.0	-0.04873514	1.3268338	-8.440018e-09	194.61143326759338
